id,transcript,emo,v,a,d,n
MSP-IMPROV-S01A-F01-P-FM01,How can I not?.,N,2.8,4.0,2.8,3.2
MSP-IMPROV-S01A-F01-P-FM02,oh the antinomian.,H,4.5,2.833333,3.333333,4.5
MSP-IMPROV-S01A-F01-P-MF01,You got so little sleep last night. I know I know that your girlfriend was having a panic attack when you talk to her. You should not go to class today?.,H,2.7,3.5,3.0,3.4
MSP-IMPROV-S01A-F01-S-FM01,"I'm so tired, I'm not looking forward to class this morning..",S,2.4,3.6,3.0,3.6
MSP-IMPROV-S01A-F01-S-FM02,"Yep, class what are you talking about?.",A,2.0,2.8,3.2,4.2
MSP-IMPROV-S01A-F01-S-FM03,"No, it is a really big deal..",A,2.142857,2.857143,3.142857,3.142857
MSP-IMPROV-S01A-F01-S-FM04,Not like it's gonna be on my attendance us and that that could be the difference between A&B..,A,2.4,2.8,3.4,4.2
MSP-IMPROV-S01A-F01-S-FM05,"I'm so tired, I did not wanna go to class today..",X,2.4,3.0,3.2,3.8
MSP-IMPROV-S01A-F01-S-FM06,"Yeah, well, I'm gonna go to class. It's gonna suck but I'm gonna go..",A,2.2,3.0,3.2,4.4
MSP-IMPROV-S01A-F01-S-MF02,"It has been I have been asleep, not long enough..",N,3.2,4.0,3.2,3.8
MSP-IMPROV-S01A-F01-S-MF03,"Yeah, I just rolled out of bed, I don't have class today..",N,2.2,3.6,2.8,4.4
MSP-IMPROV-S01A-F01-S-MF04,"Yeah, but I need..It's old is reading off the PowerPoint so I feel like there gonna put up on you later..",N,2.4,3.6,2.6,4.6
MSP-IMPROV-S01A-F01-S-MF05,"Well, I appreciate that, but I can take care myself. I mean, I know you were up late talking to your girlfriend. She's having a panic attack last night and earlier so we should skip class with me really tired..",N,3.0,3.8,2.8,3.0
MSP-IMPROV-S01A-F01-S-MF06,I don't know just it's really not that big of a deal..,A,2.2,3.2,3.2,3.8
MSP-IMPROV-S01A-F01-S-MF07,"No, I'm not gonna do that man I'll see you later..",N,3.0,3.4,3.6,4.2
MSP-IMPROV-S01A-F02-P-FM01,So tired this morning..,N,2.142857,4.285714,2.0,3.428571
MSP-IMPROV-S01A-F02-P-MF01,"OK, for tonight..",H,3.8,3.2,3.4,4.4
MSP-IMPROV-S01A-F02-P-MF02,"OK..Really, bad..Yeah..",N,3.571429,4.428571,2.571429,4.142857
MSP-IMPROV-S01A-F02-P-MF03,Yeah..Search..,H,4.25,3.625,3.5,4.5
MSP-IMPROV-S01A-F02-S-FM01,I'm so tired today..,N,2.6,3.8,2.8,3.0
MSP-IMPROV-S01A-F02-S-FM02,That's really responsible..,A,2.2,3.8,3.4,3.4
MSP-IMPROV-S01A-F02-S-FM03,"Yeah, I know..",N,2.5,3.333333,3.166667,3.166667
MSP-IMPROV-S01A-F02-S-MF01,"Yeah, you look really bad, but I just skip class get some rest..",N,2.8,3.8,2.8,3.4
MSP-IMPROV-S01A-F02-S-MF02,"Yeah, you look pretty bad. We just skip class get some rest..",N,3.0,3.8,2.8,3.6
MSP-IMPROV-S01A-F03-P-FM01,no no.,H,3.2,3.2,3.4,3.6
